seqname,tax_id
MIT9322,c__HL_II
MIT9321,c__HL_II
PAC1,c__LL_I
JFLU01,c__HL_II
ALPI01_W11,c__HNLC
IMCC9063,p__IIIa
S_CC9605,p__II
MIT9123,c__HL_II
JFML01,c__HL_II
JFLC01,c__HL_II
S_WH8102,p__III
MIT0702,c__LL_IV
MIT0703,c__LL_IV
MIT0701,c__LL_IV
JFKX01,c__HL_II
GL947594_HNLC1,c__HNLC
NATL2A,c__LL_I
ALPF01_W8,c__HNLC
MIT0604,c__HL_II
MIT0603,c__HL_II
MIT0602,c__LL_IIorIII
MIT0601,c__LL_IIorIII
S_RS9916,p__IX
JFMI01,c__HL_II
SS51,c__LL_IIorIII
SS52,c__LL_IIorIII
JFLO01,c__HL_II
JFNR01,c__HL_II
JFNA01,c__HL_II
JFMA01,c__HL_II
JFNK01,c__HL_II
MIT9301,c__HL_II
MIT9303,c__LL_IV
MIT9302,c__HL_II
UH18301,c__HL_II
JFMM01,c__HL_II
MED4,c__HL_I
JFNU01,c__HL_II
JFMZ01,c__HL_II
JFKY01,c__HL_II
S_CC9902,p__IV
JFLB01,c__HL_II
S_RCC307,p__5
JFME01,c__HL_II
ALPC01_W3,c__HNLC
MIT9401,c__HL_II
MIT9312,c__HL_II
MIT9313,c__LL_IV
MIT9311,c__HL_II
MIT9314,c__HL_II
JFLW01,c__HL_II
SS35,c__LL_IIorIII
HIMB5,p__Ia
JFLY01,c__HL_II
JFNN01,c__HL_II
JFNQ01,c__HL_II
JFMX01,c__HL_II
HTCC1062,p__Ia
JFMP01,c__HL_II
JFLF01,c__HL_II
JFMQ01,c__HL_II
JFMJ01,c__HL_II
JFMC01,c__HL_II
JFNT01,c__HL_II
S_WH5701,p__5
JFMN01,c__HL_II
JFLS01,c__HL_II
JFLA01,c__HL_II
JFKP01,c__HL_II
JFMG01,c__HL_II
MIT0801,c__LL_I
JFLX01,c__HL_II
JFNP01,c__HL_II
JFKN01,c__HL_II
JFNG01,c__HL_II
SS2,c__LL_IIorIII
JFMY01,c__HL_II
MIT9215,c__HL_II
JFLM01,c__HL_II
GP2,c__HL_II
JFLE01,c__HL_II
SB,c__HL_II
GL947595_HNLC2,c__HNLC
JFNX01,c__HL_II
JFNC01,c__HL_II
NATL1A,c__LL_I
JFMR01,c__HL_II
S_RS9917,p__VIII
AS9601,c__HL_II
MIT9211,c__LL_IIorIII
MIT9107,c__HL_II
JFKU01,c__HL_II
MIT9515,c__HL_I
JFLZ01,c__HL_II
S_CC9311,p__I
S_WH7805,p__VorVIorVII
S_WH7803,p__VorVIorVII
JFMO01,c__HL_II
JFNE01,c__HL_II
EQPAC1,c__HL_I
JFOE01,c__HL_II
ALPE01_W7,c__HNLC
JFLQ01,c__HL_II
JFLG01,c__HL_II
JFMV01,c__HL_II
LG,c__LL_IIorIII
JFNL01,c__HL_II
MIT9201,c__HL_II
MIT9202,c__HL_II
JFMH01,c__HL_II
MIT9116,c__HL_II
JFLL01,c__HL_II
SS120,c__LL_IIorIII
ALPB01_W2,c__HNLC
