tax_id,parent_id,rank,tax_name,root,kingdom,phylum,class,order,family,genus,species
Root,Root,root,Root,Root,,,,,,,
k__Proch,Root,kingdom,k__Proch,Root,k__Proch,,,,,,
p__HL,k__Proch,phylum,p__HL,Root,k__Proch,p__HL,,,,,
c__HL_II,p__HL,class,c__HL_II,Root,k__Proch,p__HL,c__HL_II,,,,
p__LL,k__Proch,phylum,p__LL,Root,k__Proch,p__LL,,,,,
c__LL_I,p__LL,class,c__LL_I,Root,k__Proch,p__LL,c__LL_I,,,,
c__HNLC,p__HL,class,c__HNLC,Root,k__Proch,p__HL,c__HNLC,,,,
k__SAR11,Root,kingdom,k__SAR11,Root,k__SAR11,,,,,,
p__IIIa,k__SAR11,phylum,p__IIIa,Root,k__SAR11,p__IIIa,,,,,
k__Syn,Root,kingdom,k__Syn,Root,k__Syn,,,,,,
p__II,k__Syn,phylum,p__II,Root,k__Syn,p__II,,,,,
p__III,k__Syn,phylum,p__III,Root,k__Syn,p__III,,,,,
c__LL_IV,p__LL,class,c__LL_IV,Root,k__Proch,p__LL,c__LL_IV,,,,
c__LL_IIorIII,p__LL,class,c__LL_IIorIII,Root,k__Proch,p__LL,c__LL_IIorIII,,,,
p__IX,k__Syn,phylum,p__IX,Root,k__Syn,p__IX,,,,,
c__HL_I,p__HL,class,c__HL_I,Root,k__Proch,p__HL,c__HL_I,,,,
p__IV,k__Syn,phylum,p__IV,Root,k__Syn,p__IV,,,,,
p__5,k__Syn,phylum,p__5,Root,k__Syn,p__5,,,,,
p__Ia,k__SAR11,phylum,p__Ia,Root,k__SAR11,p__Ia,,,,,
p__VIII,k__Syn,phylum,p__VIII,Root,k__Syn,p__VIII,,,,,
p__I,k__Syn,phylum,p__I,Root,k__Syn,p__I,,,,,
p__VorVIorVII,k__Syn,phylum,p__VorVIorVII,Root,k__Syn,p__VorVIorVII,,,,,
