seqname,tax_id
AAA795_B16,p__Ib
AAA795_C10,p__Ia
LD12,p__IIIb
S9D-28,p__IIIb
IMCC9063,p__IIIa
SAR211,p__II
AAA795_K18,p__Ia
Arctic95B-1,p__II
AAA795_D22,p__Ia
AAA795_E07,p__II
AAA795_E22,p__Ib
AAA795_P11,p__Ia
SAR11,p__Ib
AAA795_L23,p__Ia
AAA795_O20,p__Ia
DQ009255,p__IV
HTCC9565,p__Ia
AAA288-G21,p__Ic
AAA795_M22,p__Ib
AAA795_N17,p__II
AB193883,p__Ic
AAA288-N07,p__Ic
AAA795_F16,p__Ib
AAA795_C09,p__Ia
AAA795_G15,p__II
AAA795_J21,p__Ia
HIMB5,p__Ia
SAR193,p__Ib
HIMB114,p__IIIa
AAA797_I19,p__Ia
OM155,p__IIIa
HTCC1002,p__Ia
HIMB59,p__V
AAA795_A20,p__Ia
DQ009262,p__V
AAA288-E13,p__Ic
AAA795_A08,p__Ia
AAA795_M18,p__Ib
HTCC7211,p__Ia
